timestamp,total_ms,p1a_ms,gpu_ms,copy_ms,p3_ms,p4_ms
09:34:16.778,21.9,2.2,2.6,0.6,13.8,2.5
09:34:16.813,23.2,2.2,2.5,1.0,14.8,2.4
09:34:16.848,25.2,5.1,2.6,0.8,14.0,2.4
09:34:16.879,22.7,2.2,2.6,0.7,14.3,2.5
09:34:16.912,21.9,2.2,2.6,0.6,13.9,2.5
09:34:16.945,21.7,2.1,2.6,0.6,13.7,2.5
09:34:16.978,21.8,2.2,2.5,0.6,13.9,2.4
09:34:17.014,23.7,3.2,2.6,0.8,14.3,2.5
09:34:17.045,21.7,2.1,2.5,0.6,13.8,2.5
09:34:17.078,21.8,2.1,2.5,0.6,14.1,2.4
09:34:17.111,21.9,2.2,2.5,0.6,13.9,2.5
09:34:17.150,24.7,2.2,2.5,0.6,13.9,5.3
09:34:17.178,21.9,2.1,2.5,0.6,14.1,2.4
09:34:17.212,22.2,2.2,2.6,0.7,14.0,2.6
09:34:17.245,22.4,2.2,2.7,0.7,14.1,2.5
09:34:17.279,23.0,2.4,2.6,1.0,14.3,2.4
09:34:17.312,22.4,2.5,2.5,0.7,14.0,2.5
09:34:17.345,22.1,2.1,2.5,0.6,14.1,2.5
09:34:17.379,22.4,2.1,2.6,0.6,14.2,2.8
09:34:17.413,23.7,2.5,2.6,0.8,15.0,2.6
09:34:17.445,21.7,2.0,2.6,0.6,13.9,2.4
09:34:17.479,22.6,2.2,2.7,0.7,14.4,2.5
09:34:17.512,22.5,2.1,2.7,0.6,13.9,2.9
09:34:17.545,21.7,2.1,2.5,0.6,13.9,2.4
09:34:17.579,22.2,2.2,2.5,0.6,14.2,2.5
09:34:17.612,22.1,2.1,2.6,0.6,14.1,2.4
09:34:17.645,22.4,2.2,2.6,0.7,14.2,2.5
09:34:17.680,23.3,2.3,2.9,1.0,14.5,2.5
09:34:17.712,22.0,2.2,2.6,0.6,13.9,2.4
09:34:17.748,25.0,3.2,2.8,1.2,14.9,2.5
