timestamp,elapsed_s,bat_level,bat_voltage,bat_temp,charge_uAh,bat_status,cpu0_khz,cpu4_khz,cpu7_khz,t_cpu0,t_cpu7,t_gpu0,t_nsp0,t_nsp1,t_skin,t_shell,t_battery
22:45:06,10,74,4129,345,4127000,3,672000,2572800,1363200,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:45:16,20,74,4129,345,4127000,3,787200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:45:26,30,74,4129,345,4127000,3,787200,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:45:37,40,74,4129,345,4127000,3,364800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:45:47,50,74,4072,345,4109000,3,364800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:45:58,60,74,4067,344,4105000,3,1574400,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:46:08,70,74,4067,344,4105000,3,460800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:46:18,80,74,4067,344,4105000,3,1804800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:46:28,90,74,4067,344,4105000,3,1017600,2572800,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:46:39,100,74,4067,344,4105000,3,787200,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:46:49,110,74,4067,344,4105000,3,460800,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:47:00,120,74,4055,345,4084000,3,672000,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:47:10,130,74,4055,345,4084000,3,672000,1286400,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:47:20,140,74,4055,345,4084000,3,556800,729600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:47:31,150,73,4051,346,4073000,3,902400,1401600,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
22:47:41,160,73,4051,346,4073000,3,1804800,1612800,480000,80.6,89.9,61.1,63.2,63.6,51.2,36.0,33.7
