03-20 18:34:24.240 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=22.8ms  P1a=3.2  GPU=2.7  copy=0.6  P3=12.7  P4(GPU)=2.6
03-20 18:34:25.446 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.5ms  P1a=4.2  GPU=2.8  copy=1.0  P3=15.8  P4(GPU)=2.5
03-20 18:34:26.641 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=23.5ms  P1a=3.3  GPU=2.7  copy=0.8  P3=13.0  P4(GPU)=2.4
03-20 18:34:27.845 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=4.1  GPU=2.7  copy=1.1  P3=14.0  P4(GPU)=2.5
03-20 18:34:29.043 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.4ms  P1a=3.6  GPU=2.7  copy=1.0  P3=13.4  P4(GPU)=2.5
03-20 18:34:30.243 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.5ms  P1a=3.4  GPU=2.7  copy=1.0  P3=14.0  P4(GPU)=2.5
03-20 18:34:31.444 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.3ms  P1a=3.4  GPU=2.7  copy=1.0  P3=14.7  P4(GPU)=2.5
03-20 18:34:32.644 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.3ms  P1a=4.0  GPU=3.0  copy=1.0  P3=13.4  P4(GPU)=2.5
03-20 18:34:33.847 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.4ms  P1a=4.4  GPU=2.7  copy=1.0  P3=15.2  P4(GPU)=2.6
03-20 18:34:35.048 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.9ms  P1a=4.2  GPU=3.7  copy=1.1  P3=14.9  P4(GPU)=3.1
03-20 18:34:36.341 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.3ms  P1a=3.5  GPU=4.0  copy=0.8  P3=15.5  P4(GPU)=2.8
03-20 18:34:37.540 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.0ms  P1a=3.7  GPU=2.8  copy=0.9  P3=15.2  P4(GPU)=2.6
03-20 18:34:38.738 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=24.7ms  P1a=3.6  GPU=2.7  copy=0.8  P3=13.1  P4(GPU)=2.5
03-20 18:34:39.941 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.0ms  P1a=4.1  GPU=2.8  copy=1.1  P3=14.6  P4(GPU)=2.9
03-20 18:34:41.141 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.3ms  P1a=3.8  GPU=3.8  copy=1.0  P3=14.6  P4(GPU)=2.7
03-20 18:34:42.340 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.0ms  P1a=3.4  GPU=2.7  copy=0.9  P3=15.2  P4(GPU)=2.8
03-20 18:34:43.541 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.1ms  P1a=3.7  GPU=2.8  copy=1.1  P3=15.3  P4(GPU)=2.9
03-20 18:34:44.738 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.6ms  P1a=3.1  GPU=2.8  copy=0.9  P3=14.6  P4(GPU)=2.5
03-20 18:34:45.941 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.9ms  P1a=3.6  GPU=4.0  copy=0.9  P3=14.6  P4(GPU)=2.8
03-20 18:34:47.141 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.0ms  P1a=3.7  GPU=2.8  copy=1.1  P3=14.8  P4(GPU)=3.0
03-20 18:34:48.438 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.7ms  P1a=4.7  GPU=2.9  copy=1.2  P3=15.2  P4(GPU)=2.9
03-20 18:34:49.635 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.4ms  P1a=3.1  GPU=2.8  copy=0.9  P3=15.1  P4(GPU)=2.7
03-20 18:34:50.835 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.6ms  P1a=3.9  GPU=2.7  copy=0.9  P3=14.2  P4(GPU)=2.8
03-20 18:34:52.035 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.0ms  P1a=3.6  GPU=2.8  copy=1.0  P3=14.3  P4(GPU)=2.8
03-20 18:34:53.237 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.4ms  P1a=3.9  GPU=2.8  copy=1.0  P3=15.4  P4(GPU)=2.9
03-20 18:34:54.437 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.4ms  P1a=4.1  GPU=2.8  copy=1.1  P3=15.5  P4(GPU)=2.9
03-20 18:34:55.636 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=3.8  GPU=2.8  copy=1.0  P3=14.4  P4(GPU)=2.9
03-20 18:34:56.835 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.6ms  P1a=3.3  GPU=2.8  copy=0.9  P3=15.1  P4(GPU)=2.6
03-20 18:34:58.035 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.1ms  P1a=3.5  GPU=2.7  copy=0.9  P3=15.5  P4(GPU)=2.7
03-20 18:34:59.237 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.2ms  P1a=4.5  GPU=2.8  copy=1.2  P3=14.6  P4(GPU)=3.2
03-20 18:35:00.531 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.7ms  P1a=4.3  GPU=2.8  copy=1.1  P3=13.8  P4(GPU)=2.8
03-20 18:35:01.730 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.2ms  P1a=3.7  GPU=2.8  copy=0.9  P3=14.1  P4(GPU)=2.7
03-20 18:35:02.929 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.6ms  P1a=3.7  GPU=2.7  copy=0.9  P3=13.4  P4(GPU)=2.7
03-20 18:35:04.130 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.1ms  P1a=4.2  GPU=2.7  copy=1.6  P3=13.3  P4(GPU)=2.8
03-20 18:35:05.331 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.2ms  P1a=3.9  GPU=2.8  copy=1.0  P3=14.5  P4(GPU)=2.7
03-20 18:35:06.533 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.1ms  P1a=4.1  GPU=2.8  copy=1.1  P3=15.5  P4(GPU)=3.0
03-20 18:35:07.733 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.3ms  P1a=4.5  GPU=2.8  copy=1.1  P3=15.3  P4(GPU)=2.8
03-20 18:35:08.930 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.2ms  P1a=3.3  GPU=2.7  copy=0.9  P3=15.0  P4(GPU)=2.6
03-20 18:35:10.129 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.2ms  P1a=3.4  GPU=2.7  copy=0.8  P3=13.5  P4(GPU)=2.8
03-20 18:35:11.332 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.6ms  P1a=4.2  GPU=2.8  copy=1.2  P3=14.7  P4(GPU)=3.1
03-20 18:35:12.626 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=4.5  GPU=2.8  copy=1.0  P3=13.6  P4(GPU)=2.9
03-20 18:35:13.825 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.7ms  P1a=3.5  GPU=2.7  copy=1.0  P3=14.8  P4(GPU)=2.5
03-20 18:35:15.026 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.3ms  P1a=3.9  GPU=2.7  copy=1.1  P3=14.3  P4(GPU)=2.7
03-20 18:35:16.227 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.8ms  P1a=4.1  GPU=2.9  copy=1.1  P3=14.5  P4(GPU)=2.7
03-20 18:35:17.427 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.5ms  P1a=4.2  GPU=2.9  copy=1.0  P3=15.2  P4(GPU)=2.8
03-20 18:35:18.628 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.5ms  P1a=4.0  GPU=2.7  copy=1.1  P3=16.0  P4(GPU)=2.9
03-20 18:35:19.827 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.3ms  P1a=4.5  GPU=2.8  copy=1.2  P3=13.9  P4(GPU)=3.0
03-20 18:35:21.024 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=25.1ms  P1a=3.4  GPU=2.8  copy=0.9  P3=13.7  P4(GPU)=2.5
03-20 18:35:22.226 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.9ms  P1a=3.9  GPU=2.8  copy=0.9  P3=14.9  P4(GPU)=2.6
03-20 18:35:23.426 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.3ms  P1a=4.0  GPU=2.8  copy=1.1  P3=13.6  P4(GPU)=3.0
03-20 18:35:24.720 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=4.2  GPU=2.9  copy=1.1  P3=13.9  P4(GPU)=2.8
03-20 18:35:25.921 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.0ms  P1a=5.0  GPU=2.8  copy=1.2  P3=14.6  P4(GPU)=2.6
03-20 18:35:27.121 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.3ms  P1a=4.2  GPU=2.8  copy=1.1  P3=15.2  P4(GPU)=3.1
03-20 18:35:28.321 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.9ms  P1a=4.0  GPU=2.8  copy=1.1  P3=15.1  P4(GPU)=2.7
03-20 18:35:29.521 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.3ms  P1a=4.1  GPU=2.9  copy=1.1  P3=14.5  P4(GPU)=2.7
03-20 18:35:30.720 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=4.0  GPU=2.8  copy=1.1  P3=13.9  P4(GPU)=3.0
03-20 18:35:31.920 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.0ms  P1a=4.0  GPU=2.8  copy=1.1  P3=14.1  P4(GPU)=2.9
03-20 18:35:33.118 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.1ms  P1a=3.7  GPU=2.8  copy=0.9  P3=13.9  P4(GPU)=2.6
03-20 18:35:34.322 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.4ms  P1a=4.5  GPU=2.9  copy=1.2  P3=15.3  P4(GPU)=2.7
03-20 18:35:35.521 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.7ms  P1a=4.2  GPU=2.8  copy=1.1  P3=15.1  P4(GPU)=3.0
03-20 18:35:36.825 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=30.7ms  P1a=8.7  GPU=2.7  copy=0.7  P3=14.4  P4(GPU)=2.5
03-20 18:35:38.020 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=3.8  GPU=2.7  copy=1.0  P3=15.5  P4(GPU)=2.6
