timestamp,elapsed_s,current_uA,voltage_uV,capacity_pct,charge_uAh,cpu0_khz,cpu4_khz,cpu7_khz,gpu_hz,gpu_busy_pct,cpuss0,gpuss0,nsphvx0,nsphvx1,nsphmx0,nsphmx1,xo_therm,skin_therm,shell_front,shell_back
18:34:58,0,1155,4291000,100,5579000,787200,844800,902400,903000000,9,49400,46900,59300,56200,52300,51200,32957,38245,30300,30300
18:35:08,10,1209,4291000,100,5575000,787200,1708800,672000,903000000,9,51000,47300,55000,51900,50800,50400,33460,39158,30300,30300
18:35:19,21,1261,4290000,100,5570000,787200,1612800,902400,903000000,9,51800,50100,54600,54600,55000,59300,33972,40002,30400,30400
18:35:29,31,1330,4279000,100,5567000,787200,2707200,902400,903000000,9,51800,50500,58500,55800,55400,55000,34424,40939,30400,30400
18:35:40,42,1186,4288000,100,5562000,787200,1612800,902400,903000000,9,52600,50100,62000,59300,55000,55000,34829,41181,30500,30500
18:35:50,52,1245,4283000,100,5559000,787200,960000,902400,903000000,10,53300,50100,56200,60100,54600,54600,35161,41312,30500,30500
18:36:00,62,1175,4289000,100,5555000,787200,1401600,902400,903000000,9,53300,50100,57400,59300,55000,54600,35477,41612,30600,30600
18:36:11,73,1316,4281000,100,5551000,787200,1824000,902400,903000000,10,52900,50900,57700,58900,59300,60100,35738,41857,30600,30600
18:36:21,83,1282,4287000,100,5547000,787200,844800,902400,903000000,9,53700,51300,60100,60500,57400,56600,36034,42294,30700,30700
18:36:32,94,1426,4266000,100,5542000,787200,1612800,902400,903000000,9,54100,51300,61200,58500,57700,57700,36315,42626,30800,30800
18:36:42,104,1342,4269000,100,5538000,787200,844800,902400,903000000,9,54100,51700,57700,60500,57400,59700,36576,42949,30900,30900
18:36:52,114,1309,4280000,100,5534000,787200,1190400,902400,903000000,9,54900,52100,60800,61200,58900,61200,36852,43554,31000,31000
18:37:02,124,1329,4280000,100,5530000,787200,844800,902400,903000000,9,54900,52400,59700,59700,58100,58900,37121,43526,31100,31100
18:37:12,134,1136,4308000,100,5526000,787200,1612800,902400,903000000,10,55300,52400,57700,58500,57700,58100,37309,43554,31100,31100
18:37:23,145,1314,4274000,100,5522000,787200,844800,902400,903000000,9,55300,52400,60500,57700,60500,63600,37484,43709,31200,31200
18:37:33,155,1177,4289000,100,5519000,787200,1612800,902400,903000000,9,55300,52100,64000,61600,58900,59700,37682,43931,31300,31300
18:37:43,165,1323,4270000,100,5515000,787200,1612800,902400,903000000,9,56100,52400,59700,65500,64300,57400,37916,44443,31400,31400
18:37:54,176,1309,4280000,100,5510000,556800,2035200,902400,903000000,9,55300,53200,62000,62000,64000,63600,38109,44492,31500,31500
18:38:05,187,1455,4278000,100,5506000,787200,1075200,902400,903000000,9,55300,54000,62400,63600,59300,59300,38282,44672,31700,31700
